檔案,語言,檢查類型,問題內容,上下文
tools\401k-contribution.html,繁體中文（根目錄）,年份字樣,出現「2025」,750 的年度配對。</p><p><small>資料來源：IRS Notice 2025-67（2026年額度），2026年8月更新。</small></p></art
tools\age-calculator.html,繁體中文（根目錄）,相對時間詞,出現「今年」,"class=""faq-a"">本工具會自動計算從今天至您下一個生日的剩餘天數。如果今年的生日已經過去，系統會自動計算至明年同月同日的天數。</div></div>"
tools\asphalt-calculator.html,繁體中文（根目錄）,年份字樣,出現「2000」,h2><p>小型車道（500-1000平方英尺）通常需要2英寸厚度；中型停車場（2000-5000平方英尺）需要2.5英寸厚度；大型項目建議3英寸厚度以確保耐久性。瀝青
tools\catch-up-contribution.html,繁體中文（根目錄）,年份字樣,出現「2025」,作制定長期退休計劃。</p><p><small>資料來源：IRS Notice 2025-67（2026年額度），2026年8月更新。</small></p></art
tools\dental-cost-calculator.html,繁體中文（根目錄）,相對時間詞,出現「今年」,"> </div>   <small class=""input-help"">輸入您今年已支付的自付額金額</small> <div class=""input-grou"
tools\dental-cost-calculator.html,繁體中文（根目錄）,相對時間詞,出現「今年」,"> </div>   <small class=""input-help"">輸入您今年已使用的保險給付金額</small></div>     <button cla"
tools\dental-cost-calculator.html,繁體中文（根目錄）,相對時間詞,出現「今年」,"「您的自付額」是您需要自行支付的費用。「剩餘自付額」和「剩餘年度給付」幫助您了解今年還有多少保險額度可以使用。</div>       <div class=""ac"
tools\fence-calculator.html,繁體中文（根目錄）,年份字樣,出現「2000」,尺計算，範圍從簡單的籬笆每英尺NT$500-1000，到高級隱私柵欄每英尺NT$2000-4000以上。乘以您的周長以獲得總體預算估計。</p></article>
tools\freelance-rate.html,繁體中文（根目錄）,相對時間詞,出現「去年」,子郵件託管（NT$10-50/月）、健康保險、辦公用品、專業發展課程和設備。查看去年的銀行對帳單和信用卡賬單，以獲取準確的數字。</div></div>   <di
tools\fsa-savings-calc.html,繁體中文（根目錄）,年份字樣,出現「2025」,況的FSA繳款水平。</p><p><small>資料來源：IRS Notice 2025-67（2026年額度），2026年8月更新。</small></p></art
tools\health-deductible-calc.html,繁體中文（根目錄）,相對時間詞,出現「今年」,"> </div>   <small class=""input-help"">輸入您今年已經支付的醫療費用金額</small></div>     <button cl"
tools\hsa-contribution-calc.html,繁體中文（根目錄）,年份字樣,出現「2025」,未來的退休醫療支出。</p><p><small>資料來源：IRS Notice 2025-67（2026年度限額），2026年8月更新。</small></p></ar
tools\inflation.html,繁體中文（根目錄）,相對時間詞,出現「今年」,當通貨膨脹發生時，您的金錢購買力會下降，因為相同的金額只能購買更少的商品。例如，今年NTNT$1000能購買的商品，在5年後可能只需要NTNT$950就能購買相同的
tools\ivf-cost-calculator.html,繁體中文（根目錄）,年份字樣,出現「2000」,"r"" id=""additionalCosts"" placeholder=""例如：2000""  value=""0"" step=""100""></div> </div>"
tools\oop-maximum-calc.html,繁體中文（根目錄）,相對時間詞,出現「今年」,"""number"" id=""amountPaid"" placeholder=""輸入今年迄今的總支出""  value=""2150"" step=""0.01""></div>"
tools\oop-maximum-calc.html,繁體中文（根目錄）,相對時間詞,出現「今年」,"v> </div>   <small class=""input-help"">輸入今年迄今為止已支付的醫療費用總額</small></div>     <button"
tools\payroll-tax.html,繁體中文（根目錄）,年份字樣,出現「2024」,"a"">稅碼1257L是英國最常見的稅碼，表示您有NT$12,570的個人免稅額（2024/25年度）。L代表標準個人免稅額。如果您的稅碼不同，您的免稅額會相應調整。</"
tools\pension-vs-lump-sum.html,繁體中文（根目錄）,相對時間詞,出現「今年」,"iv> </div>   <small class=""input-help"">您今年的年齡（用於計算時間價值）</small></div>     <button"
tools\percentage-calculator.html,繁體中文（根目錄）,相對時間詞,出現「去年」,該小於或等於整體值，但在某些情況下（如增長率計算）可能會超過100%。例如，如果去年銷售額是100萬，今年是150萬，增長率就是150%。</p> <h3>常用百分
tools\percentage-calculator.html,繁體中文（根目錄）,相對時間詞,出現「今年」,在某些情況下（如增長率計算）可能會超過100%。例如，如果去年銷售額是100萬，今年是150萬，增長率就是150%。</p> <h3>常用百分比速算表</h3> <
tools\retirement.html,繁體中文（根目錄）,年份字樣,出現「2000」,月能投資的金額。這應該是您能穩定承擔的金額，無論是NTNT$500還是NTNT$2000。接著輸入預期的年報酬率，這通常取決於您的投資組合（股票、債券、基金等）。然後指
tools\roth-vs-traditional.html,繁體中文（根目錄）,年份字樣,出現「2025」,靈活地選擇提取來源。</p><p><small>資料來源：IRS Notice 2025-67（2026年度限額），2026年8月更新。</small></p></ar
tools\roth-vs-traditional.html,繁體中文（根目錄）,相對時間詞,出現「今年」,"iv> </div>   <small class=""input-help"">您今年的總收入</small> <div class=""input-group"">"
tools\roth-vs-traditional.html,繁體中文（根目錄）,相對時間詞,出現「目前的稅率」,"帳戶類型可以為您節省數十萬元。羅斯IRA和傳統IRA各有優缺點,最佳選擇取決於您目前的稅率、預期的退休稅率以及您的長期財務目標。</p><h3>傳統IRA的特點</h3>"
tools\roth-vs-traditional.html,繁體中文（根目錄）,相對時間詞,出現「目前的稅率」,"方式:您現在用稅後收入貢獻,但退休時的提取完全免稅。如果您認為您的退休稅率會高於目前的稅率,或者您想要在退休期間獲得免稅收入,羅斯IRA是一個很好的選擇。此外,羅斯IRA"
tools\solar-roi.html,繁體中文（根目錄）,相對時間詞,出現「今年」,"算考慮了能源價格通膨率，這意味著隨著時間推移，您的電費節省會逐年增加。例如，如果今年節省NT$1,500，年通膨率為2.5%，明年的節省將增加到約NT$1,538。"
