檔案,語言資料夾,html宣告lang,檢查類型,分類,問題內容,上下文
en\bonus-tax.html,英文,en,B-關鍵字疑似誤植,B-UK限定工具例外清單內,英文頁面出現英鎊符號,"...w""><span class=""input-prefix"">£</span><input type=""number"" id..."
en\bonus-tax.html,英文,en,B-關鍵字疑似誤植,B-UK限定工具例外清單內,英文頁面出現英鎊符號,...omeTaxAmount').textContent = '£' + incomeTaxAmount.toLocaleSt...
en\bonus-tax.html,英文,en,B-關鍵字疑似誤植,B-UK限定工具例外清單內,英文頁面出現英鎊符號,...uranceAmount').textContent = '£' + nationalInsuranceAmount.to...
en\bonus-tax.html,英文,en,B-關鍵字疑似誤植,B-UK限定工具例外清單內,英文頁面出現英鎊符號,...ntLoanAmount').textContent = '£' + studentLoanAmount.toLocale...
en\bonus-tax.html,英文,en,B-關鍵字疑似誤植,B-UK限定工具例外清單內,英文頁面出現英鎊符號,...ensionAmount').textContent = '£' + pensionAmount.toLocaleStri...
en\bonus-tax.html,英文,en,B-關鍵字疑似誤植,B-UK限定工具例外清單內,英文頁面出現英鎊符號,...alDeductions').textContent = '£' + totalDeductions.toLocaleSt...
en\bonus-tax.html,英文,en,B-關鍵字疑似誤植,B-UK限定工具例外清單內,英文頁面出現英鎊符號,...Id('netBonus').textContent = '£' + netBonus.toLocaleString('e...
en\bonus-tax.html,英文,en,B-關鍵字疑似誤植,B-UK限定工具例外清單內,英文頁面出現VAT（英國/歐盟增值稅用語，美式英文一般用sales tax）,"...tools/en/vat-calculator.html"">VAT & Sales Tax Calculator</a>   ..."
en\bonus-tax.html,英文,en,B-關鍵字疑似誤植,B-UK限定工具例外清單內,英文頁面出現「National Insurance」（英國國民保險，美式用語應為Social Security/payroll tax）,"...pe"": ""Question"", ""name"": ""Are National Insurance contributions different from ..."
en\bonus-tax.html,英文,en,B-關鍵字疑似誤植,B-UK限定工具例外清單內,英文頁面出現「National Insurance」（英國國民保險，美式用語應為Social Security/payroll tax）,"...ype"": ""Answer"", ""text"": ""Yes, National Insurance is separate from income tax a..."
en\bonus-tax.html,英文,en,B-關鍵字疑似誤植,B-UK限定工具例外清單內,英文頁面出現「National Insurance」（英國國民保險，美式用語應為Social Security/payroll tax）,"...bove that. Unlike income tax, National Insurance has fixed thresholds that don..."
en\bonus-tax.html,英文,en,B-關鍵字疑似誤植,B-UK限定工具例外清單內,英文頁面出現「National Insurance」（英國國民保險，美式用語應為Social Security/payroll tax）,"...label for=""nationalInsurance"">National Insurance Rate (%)</label>   <div class..."
en\bonus-tax.html,英文,en,B-關鍵字疑似誤植,B-UK限定工具例外清單內,英文頁面出現「National Insurance」（英國國民保險，美式用語應為Social Security/payroll tax）,"...m""><span class=""result-label"">National Insurance</span><span class=""result-val..."
en\bonus-tax.html,英文,en,B-關鍵字疑似誤植,B-UK限定工具例外清單內,英文頁面出現「National Insurance」（英國國民保險，美式用語應為Social Security/payroll tax）,...ed at the higher rate.</p><h2>National Insurance Contributions</h2><p>National...
en\bonus-tax.html,英文,en,B-關鍵字疑似誤植,B-UK限定工具例外清單內,英文頁面出現「National Insurance」（英國國民保險，美式用語應為Social Security/payroll tax）,...nsurance Contributions</h2><p>National Insurance is a separate tax that funds ...
en\bonus-tax.html,英文,en,B-關鍵字疑似誤植,B-UK限定工具例外清單內,英文頁面出現「National Insurance」（英國國民保險，美式用語應為Social Security/payroll tax）,...as earnings and is subject to National Insurance contributions. Unlike income ...
en\bonus-tax.html,英文,en,B-關鍵字疑似誤植,B-UK限定工具例外清單內,英文頁面出現「National Insurance」（英國國民保險，美式用語應為Social Security/payroll tax）,"...ributions. Unlike income tax, National Insurance thresholds are fixed and do n..."
